name,link,size,file_type,entire_folder_path
MSA_Adhi Solutions_Finnovation.pdf,https://drive.google.com/file/d/1TDJWx4gfMn-lclIjwMoglB8Cki7NXOsI/view?usp=drive_link,3650377,application/pdf,Revised
MSA_Adhi Solutions_Krazybee.pdf,https://drive.google.com/file/d/1gcM8wUY1CXvGnmo6ZV9oOBUKXOmASc-Y/view?usp=drive_link,3783777,application/pdf,Revised
Addendum 1_Achievers_Finnovation.pdf,https://drive.google.com/file/d/1EEsHKTeIuLiH7ZBxAYz6SWMxQ4wSz9WM/view?usp=drive_link,264557,application/pdf,Revised
Addemdum 1_Achievers_Krazybee.pdf,https://drive.google.com/file/d/1iUeoA7RBKmXdcASHtjGbZs86N0KJn4Ds/view?usp=drive_link,249636,application/pdf,Revised
Addendum 9_Finance Buddha_FTSPL_Signed.pdf,https://drive.google.com/file/d/1A5nLdR0u4qMLk11DwQP_yXwyBo6jM87Q/view?usp=drive_link,813051,application/pdf,Revised
Dealer Agreement_Motomart_Krazybee.pdf,https://drive.google.com/file/d/1CITLjch0QD_CfgcNxoNwwK7zx55GLE3N/view?usp=drive_link,1251918,application/pdf,Revised
Dealer Agreement_Sukkra Motors_Krazybee.pdf,https://drive.google.com/file/d/1YIavQH2RPJYVPxs4a5zwhZqja6kueMfD/view?usp=drive_link,1199582,application/pdf,Revised
Business Sourcing Agreement_LAP_Pravyukth Management_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1KXjxK8ExS0MpCt9Y3-iaqq9rXrs4UPe_/view?usp=drive_link,2336346,application/pdf,Revised
DSA Agreement_LAP_Offline_Kameshwari G_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1prEU-3kjjvEHRpNz2MQCeWSJQA95ZEkw/view?usp=drive_link,1807664,application/pdf,Revised
Marketing Agreement (FTSPL-Zepto) - Signed (1).pdf,https://drive.google.com/file/d/1LZJPJ3iTpMzUCHsAZh2i3OH3Yur9Xszg/view?usp=drive_link,6522509,application/pdf,Revised
Dealer Agreement_Murali Automobiles_KBNBFC.pdf,https://drive.google.com/file/d/1uQXey09uasgi3CZxA8Vb4Sxz9ukbwulW/view?usp=drive_link,12758393,application/pdf,Revised
Addendum 1_Virtue Sources LLP_Krazybee.pdf,https://drive.google.com/file/d/1gvmA7HmtnFqqoAJ6MMGD1PCNjt6mJKyt/view?usp=drive_link,265149,application/pdf,Revised
DLG Agreement_Oxyzo_KBNBFC.pdf,https://drive.google.com/file/d/1VQ6fhRx85sc4Jrnn1y6OUFwec_6LoBby/view?usp=drive_link,830065,application/pdf,Revised
Co-Lending Agreement_Oxyzo_FTSPL_KBNBFC.pdf,https://drive.google.com/file/d/1BmYvuz1kaCQeB-XSEA0cbJhI_BqIQ7ML/view?usp=drive_link,5205871,application/pdf,Revised
Fifth Supplemental Agreement_NAC KB SLA_.pdf,https://drive.google.com/file/d/1Uyx24af5jSHgZtIDOmgEurYCGpq6RsYi/view?usp=drive_link,2777986,application/pdf,Revised
Piramal_KB_Third Addendum_Nov 24.pdf,https://drive.google.com/file/d/1ldgyhbJyCptYorVneyKpqw3jAZIRZbmN/view?usp=drive_link,705501,application/pdf,Revised
LAP Verification Agreement_Candour Consultant_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1ZNSVvEsNKulOx1ALFAc30OHxu-ytQS3U/view?usp=drive_link,58942333,application/pdf,Revised
DSA Agreement_LAP_Offline_Saravanan R_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1veZjGM7oV5gkB52L8EtH-IRyURSQXfZa/view?usp=drive_link,1835590,application/pdf,Revised
Dealer Agreement_Nithin Motors_KBNBFC.pdf,https://drive.google.com/file/d/1NnGFIEacS9GCJf-WM5_xFhzavbr7Y3ii/view?usp=drive_link,1419869,application/pdf,Revised
Master Agreement_Advertising_FTSPL-Spiffy_Click2Commission_Signed.pdf,https://drive.google.com/file/d/1O6d8ImleroMH-hFLHEMvaZzArR_OceoD/view?usp=drive_link,590218,application/pdf,Revised
KSPL EL_SISA_signed.pdf,https://drive.google.com/file/d/1D9ZNslNtZa3pE06vGldzlPTNlFj6EtF5/view?usp=drive_link,2263093,application/pdf,Revised
Master Agreement_Advertising_FTSPL_CreditKaro_Plugger_Partially Signed (1).pdf,https://drive.google.com/file/d/110m1NpyMlJpRo0Zx56POKyHsEAeTiS3t/view?usp=drive_link,802471,application/pdf,Revised
MSA_PS Financial_Krazybee.pdf,https://drive.google.com/file/d/1kVPrIM5GDwz4zKfcQWKcxo9xBRXcL263/view?usp=drive_link,3468261,application/pdf,Revised
BSA_GRV Solutions_Krazybee.pdf,https://drive.google.com/file/d/1zy9ugeHQKyR7dklHTR_Qp_p8FcxLOiE4/view?usp=drive_link,2401018,application/pdf,Revised
Addendum 1_Mark Enterprises_Finnovation.pdf,https://drive.google.com/file/d/1J7Wmp7T89gFeS_qwwNO8SzA8LZQMpNjA/view?usp=drive_link,330232,application/pdf,Revised
Addendum 1_Mark Enterprises_Krazybee.pdf,https://drive.google.com/file/d/1jE3RvIMiAhAe6nUTTv2WZu6AvhcaJ3rj/view?usp=drive_link,343083,application/pdf,Revised
MSA_PS Financial_Finnovation.pdf,https://drive.google.com/file/d/1xL0cBK-yShjHwPWLvenSkqCDWjPz3DCw/view?usp=drive_link,3244755,application/pdf,Revised
Amendment 3_Vibhuprada_Credithaat_FTSPL_Signed.pdf,https://drive.google.com/file/d/1DQoMxvXRdA1jApugVv-urrDMfwABkB3-/view?usp=drive_link,296468,application/pdf,Revised
Addendum 3_Vibhuprada_Credithaat_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1BhAwTc6wreVI7TL4g5diA1P5E0rBMF0F/view?usp=drive_link,312626,application/pdf,Revised
Sixth Amendment_PayU_KB_FTSPL_signed (Nov'24).pdf,https://drive.google.com/file/d/1H-V2aXh5VAUW81oviD0v2sDgZp5CXeOk/view?usp=drive_link,434974,application/pdf,Revised
KRAZYBEE - NADL agreement.pdf,https://drive.google.com/file/d/1siz8A3l-3mxMKwYMhp7FIOxTmaHF6Iis/view?usp=drive_link,1405933,application/pdf,Revised
Data Sharing Agreement_NADL_KRAZYBEE.pdf,https://drive.google.com/file/d/109wKFxySEe1YbGYJ65AyTbVKhGevTGrI/view?usp=drive_link,1405933,application/pdf,Revised
Addendum 3_Digitap.ai_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1nz75fFz-UyCvTgSXIzcxnHX2zt4aa3rp/view?usp=drive_link,283628,application/pdf,Revised
Dealer Agreement_Kiviraj Elxir_KBNBFC.pdf,https://drive.google.com/file/d/1GMNtuZShhupxtIQOBc4vHWxEidaqTvqT/view?usp=drive_link,3041505,application/pdf,Revised
Dealer Agreement_Nideesh Motors_KBNBFC.pdf,https://drive.google.com/file/d/1U8-ZdNNh7LXuPLYWR-SIhLm3uDhREAED/view?usp=drive_link,5504582,application/pdf,Revised
DSA Agreement_LAP_Offline_Rajkumar S_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1zYBUjQpK5SvKp1a9DN4YuzeJQMVqwI7F/view?usp=drive_link,1738382,application/pdf,Revised
Master Service Agreement_KrazyBee_MobiKwik (2).pdf,https://drive.google.com/file/d/1Q01j90WhXLWhZHZshvLn2VzPQLbxfqX7/view?usp=drive_link,961249,application/pdf,Revised
Default loss guarantee_MobiKwik_ Krazybee_01102024.pdf,https://drive.google.com/file/d/1pARZdodwsO3Gw-DxF_SykN4MKONKUaoM/view?usp=drive_link,486538,application/pdf,Revised
MSA_Wenext Global_Krazybee.pdf,https://drive.google.com/file/d/11WwebAS8C3Pl2JLqmaWi0SHQZEOJMvTA/view?usp=drive_link,3443167,application/pdf,Revised
MSA_Wenext Global_Finnovation.pdf,https://drive.google.com/file/d/1PoZWCSBCQV7CCyprLlLgTmJNAMJv1IYP/view?usp=drive_link,3439940,application/pdf,Revised
Addendum 1_Srinidhi Associates_Krazybee.pdf,https://drive.google.com/file/d/1c7MDsoqXpQU06_PIIV1SNsSEB5LChhW2/view?usp=drive_link,310652,application/pdf,Revised
Addendum 1_Srinidhi Associates_Finnovation.pdf,https://drive.google.com/file/d/1DVcXsPr_05WAz8nnO1tZroM5OJDV03tr/view?usp=drive_link,310533,application/pdf,Revised
Addendum 3_Guruji Teleconnect_Finnovation.pdf,https://drive.google.com/file/d/1tmgmTTy6JsI1EKO67XR0jduTB3GB9fEo/view?usp=drive_link,212864,application/pdf,Revised
Addendum 3_Guruji Teleconnect_Krazybee.pdf,https://drive.google.com/file/d/1odwCozJX2qkgOUDSrGRmhFgDJ_OSpAOH/view?usp=drive_link,250693,application/pdf,Revised
